Level,Compound conjunctions,Participle clauses,Gerund clauses,Relative clauses,Infinitive clauses,Subordinate clauses,Coordinate clauses,Maximum nesting depth,Depths 1-3,Sentence length,Adverbial clause modifiers,Clausal complements,Avrgwordleng,TTR (100)
3,0,1.49253731343284,2.98507462686567,0,5.97014925373134,34.3283582089552,29.8507462686567,5,88.6153846153846,12.875,0.0746268656716418,12.5,4.8252427184466,0.756571428571428
3,1.50943396226415,13.8888888888889,2.77777777777778,2.77777777777778,0,36.1111111111111,8.33333333333333,8,79.1519434628975,13.25,0.138888888888889,0,5.30188679245283,0.80694610778443
3,1.22549019607843,1.51515151515152,3.03030303030303,0,6.06060606060606,34.8484848484849,22.7272727272727,6,83.4101382488479,14.5714285714286,0.0757575757575758,8,5.04411764705882,0.806570512820514
3,1.40845070422535,0,0,2.77777777777778,8.33333333333333,27.7777777777778,22.2222222222222,4,97.4193548387097,7.88888888888889,0.138888888888889,4.76190476190476,4.33566433566433,0.708139534883721
3,0.505050505050505,2.89855072463768,2.89855072463768,0,10.1449275362319,39.1304347826087,24.6376811594203,8,79.1079812206573,15.84,0.072463768115942,3.03030303030303,4.55076142131979,0.753061224489796
3,0.892857142857143,0,0,20,10,45,10,5,78.3333333333333,12.4444444444444,0.25,0,4.6695652173913,0.682307692307692
3,0.72202166064982,2.27272727272727,0,4.54545454545455,22.7272727272727,38.6363636363636,11.3636363636364,5,85.5704697986577,12.5909090909091,0.113636363636364,0,4.98194945848375,0.726685393258427
3,0,0,0,8.69565217391304,4.34782608695652,30.4347826086957,21.7391304347826,6,75.9493670886076,13.4545454545455,0.217391304347826,0,4.82550335570469,0.666938775510204
3,0,0,0,2.32558139534884,11.6279069767442,39.5348837209302,16.2790697674419,7,85.2507374631268,16.5263157894737,0.116279069767442,3.63636363636364,4.82857142857142,0.756355140186916
3,0.564971751412429,0,0,3.57142857142857,3.57142857142857,28.5714285714286,14.2857142857143,4,87.0466321243523,11.0625,0.178571428571429,0,4.83615819209039,0.779487179487179
3,0,3.84615384615385,0,5.76923076923077,5.76923076923077,32.6923076923077,21.1538461538462,5,86.2359550561798,13.2916666666667,0.0961538461538462,4.54545454545455,4.57009345794392,0.727454545454546
3,0.352733686067019,0,1.01010101010101,2.02020202020202,5.05050505050505,32.3232323232323,24.2424242424242,6,84.1692789968652,13.1860465116279,0.0505050505050505,2.89855072463768,4.24561403508771,0.699850107066382
3,0,0,0,2.5974025974026,7.79220779220779,31.1688311688312,28.5714285714286,8,80.4435483870968,14.1612903225806,0.0649350649350649,5,4.26757369614512,0.760145772594752
3,0,0,3.125,6.25,15.625,40.625,12.5,12,60.8433734939759,19.7333333333333,0.15625,0,4.36577181208053,0.638805970149254
3,0,0,0,0,9.52380952380952,28.5714285714286,23.8095238095238,7,68.5567010309278,17.5,0.238095238095238,5,4.88826815642458,0.767402597402597
3,0,0,0,9.09090909090909,4.54545454545455,18.1818181818182,9.09090909090909,8,75.6198347107438,13.75,0.227272727272727,2,4.81081081081081,0.78050847457627
3,0.253807106598985,0,0,1.72413793103448,8.62068965517241,36.2068965517241,27.5862068965517,7,80.6236080178174,18.7619047619048,0.0862068965517241,1.51515151515152,4.70558375634517,0.758561403508772
3,0.558659217877095,5.55555555555556,0,8.33333333333333,8.33333333333333,44.4444444444444,16.6666666666667,5,90,12.7857142857143,0.138888888888889,2.63157894736842,4.94972067039106,0.778625
3,1.02040816326531,5.71428571428571,0,2.85714285714286,11.4285714285714,34.2857142857143,20,11,77.9503105590062,18.375,0.142857142857143,3.03030303030303,4.61486486486486,0.760871794871794
3,1.15942028985507,2.5,0,7.5,10,25,15,7,73.490813648294,14.375,0.125,1.85185185185185,4.74639769452449,0.740846774193548
3,0.483091787439614,3.7037037037037,3.7037037037037,3.7037037037037,14.8148148148148,25.9259259259259,22.2222222222222,11,75.1091703056769,14.7857142857143,0.185185185185185,0,5.18840579710144,0.796542056074765
3,0.716845878136201,0,0,2.77777777777778,11.1111111111111,25,13.8888888888889,5,88.659793814433,12.6818181818182,0.138888888888889,2.8169014084507,4.69642857142857,0.720939226519336
3,0,0,0,12.8205128205128,15.3846153846154,35.8974358974359,10.2564102564103,7,78.9173789173789,15.5714285714286,0.128205128205128,1.51515151515152,4.46177370030581,0.686315789473683
3,0,5.26315789473684,0,5.26315789473684,0,15.7894736842105,21.0526315789474,5,84.0277777777778,10.6666666666667,0.263157894736842,0,4.5234375,0.726896551724137
4,0.195694716242661,1.28205128205128,0,6.41025641025641,3.84615384615385,26.9230769230769,28.2051282051282,10,83.3333333333333,14.6,0.0641025641025641,5.88235294117647,4.31578947368421,0.707530266343824
4,0.584795321637427,1,2,3,3,34,23,10,81.2392426850258,11.9302325581395,0.05,35.7142857142857,4.50487329434697,0.720168674698794
4,0,2.5974025974026,9.09090909090909,5.1948051948052,3.8961038961039,40.2597402597403,18.1818181818182,11,82.5882352941177,11.15625,0.0649350649350649,0.943396226415094,5.00279329608938,0.804370078740159
4,1.00755667506297,0,2.04081632653061,6.12244897959184,6.12244897959184,32.6530612244898,22.4489795918367,7,76.510067114094,18.0454545454545,0.102040816326531,3.77358490566038,5.13065326633165,0.789628378378379
